Colony,Individual,ID,Channel,Hexane,Hexane,Avg_Hex,10 ng BP,10 ng Oci,100 ng BP,1 ug BP,10 ug BP,100 ug BP,100 ng Oci,1 ug Oci,10 ug Oci,100 ug Oci,Behavior,BP_100ng_hex,BP_1ug_hex ,BP_10ug_hex,BP_100ug_hex ,Oci_100ng_hex,Oci_1ug_hex,Oci_10ug_Hex,Oci_100ug_hex
A,Forager 1,1,,98.9,36.6,67.75,157.2,103.5,110.6,98.2,73.8,,72.4,78.8,111.6,,Forager,1.632472325,1.449446494,1.089298893,0,1.068634686,1.163099631,1.647232472,0
A,Forager 10,2,,62,77,69.5,,,66.7,73.5,62.6,103.8,83.8,58.9,70.5,142,Forager,0.95971223,1.057553957,0.900719424,1.49352518,1.205755396,0.847482014,1.014388489,2.043165468
A,Forager 2,3,4,22.4,42.3,32.35,49.8,42.5,66,30.8,19.99,,30.8,51.3,74.4,,Forager,2.040185471,0.952086553,0.617928903,0,0.952086553,1.585780526,2.29984544,0
A,Forager 3,4,1,33.1,33,33.05,35.3,42.4,38.8,40.4,38.1,,65,35.4,65.4,,Forager,1.17397882,1.222390318,1.15279879,0,1.966717095,1.071104387,1.97881997,0
A,Forager 4,5,1,62.8,73.4,68.1,89.8,88.3,79.5,69.7,82.4,,89.1,87.5,90.8,,Forager,1.167400881,1.02349486,1.209985316,0,1.308370044,1.284875184,1.333333333,0
A,Forager 5,6,1,113,135.2,124.1,97.9,88.9,105.4,83,119.4,,76,109.4,113.7,,Forager,0.849315068,0.668815471,0.962127317,0,0.612409347,0.881547139,0.916196616,0
A,Forager 6,7,,55.5,38.3,46.9,,,40.9,25.9,58.8,75.3,59.6,59.9,80.9,153.7,Forager,0.87206823,0.552238806,1.253731343,1.60554371,1.270788913,1.277185501,1.724946695,3.277185501
A,Forager 7,8,,126.3,96.8,111.55,,,131.8,110.4,104.3,144.7,90.7,77.8,174.2,225.4,Forager,1.181532945,0.989690722,0.935006723,1.297176154,0.813088301,0.697445092,1.561631555,2.020618557
A,Forager 8,9,1,73,60.3,66.65,,,63.7,35.6,60.2,97.2,66.6,63.5,75.6,146.4,Forager,0.955738935,0.534133533,0.903225806,1.458364591,0.999249812,0.952738185,1.134283571,2.196549137
A,Forager 9,10,4,50.1,36.4,43.25,,,51.8,25.3,47,73.9,43.3,44.9,70.1,142.9,Forager,1.197687861,0.584971098,1.086705202,1.70867052,1.001156069,1.038150289,1.620809249,3.304046243
B,Forager 2,11,1,141.6,134.9,138.25,,,215.7,269.4,261.5,264.1,197.8,261.1,204,363,Forager,1.560216998,1.948643761,1.891500904,1.910307414,1.43074141,1.888607595,1.475587703,2.625678119
B,Forager 3,12,1,142.7,48.9,95.8,,,58.8,110.7,62.6,102,77.5,84.4,84,100.8,Forager,0.613778706,1.155532359,0.653444676,1.064718163,0.808977035,0.881002088,0.876826722,1.052192067
B,Forager 4,13,4,102.5,123.3,112.9,,,143.6,174.6,201.9,187.8,199,162.2,172.8,241.2,Forager,1.271922055,1.546501329,1.788308237,1.663418955,1.762621789,1.436669619,1.530558016,2.136403897
B,Forager 5,14,4,43.1,43.5,43.3,,,56.4,35.8,30,46.6,43.3,51.7,32.9,76.4,Forager,1.302540416,0.826789838,0.692840647,1.076212471,1,1.193995381,0.759815242,1.76443418
B,Forager 6,15,1,59.8,26.4,43.1,,,58.3,,49.3,66.2,67.8,50.1,61.5,82.7,Forager,1.352668213,0,1.143851508,1.535962877,1.573085847,1.162412993,1.426914153,1.918793503
B,Forager 7,16,4,31.2,41.9,36.55,,,66.2,53.3,47.5,43.8,45.6,75.7,73.4,93.3,Forager,1.81121751,1.458276334,1.299589603,1.198358413,1.247606019,2.071135431,2.008207934,2.552667579
B,Forager 8,17,1,73.5,60,66.75,,,91.5,81.9,91.2,93.6,82.9,59,91.4,100.9,Forager,1.370786517,1.226966292,1.366292135,1.402247191,1.241947566,0.883895131,1.36928839,1.511610487
B,Forager 9,18,4,49.3,24.2,36.75,,,29,56.9,49,73.1,49.2,25.8,49.2,103.1,Forager,0.789115646,1.54829932,1.333333333,1.989115646,1.33877551,0.702040816,1.33877551,2.805442177
B,Forager 1,19,1,,166.1,166.1,,,69.2,91.7,172.4,173.3,160,134.3,171.4,142.3,Forager,0.416616496,0.552077062,1.037928958,1.043347381,0.963275135,0.808549067,1.031908489,0.856712824
C,Forager 1,20,1,52.4,64.5,58.45,,,93.2,80.2,177.2,230,116.6,61,97,213.6,Forager,1.594525235,1.372112917,3.031650984,3.934987169,1.994867408,1.043627032,1.659538067,3.654405475
C,Forager 10,21,4,37.1,33.5,35.3,,,29,30.7,67,47.7,41.5,29.3,68.4,120.3,Forager,0.821529745,0.869688385,1.898016997,1.351274788,1.175637394,0.830028329,1.937677054,3.407932011
C,Forager 2,22,4,21.8,20.4,21.1,,,52.5,47.9,17.2,43.2,24.3,43.7,13.6,65,Forager,2.488151659,2.27014218,0.815165877,2.047393365,1.151658768,2.071090047,0.644549763,3.08056872
C,Forager 3,23,4,49.8,58.1,53.95,,,79.4,69.4,68,66.7,80,50.8,84,126,Forager,1.471733086,1.286376274,1.260426321,1.236329935,1.482854495,0.941612604,1.55699722,2.335495829
C,Forager 4,24,4,52,64,58,,,65.8,72,74.7,84.8,59.2,47,71.9,89.9,Forager,1.134482759,1.24137931,1.287931034,1.462068966,1.020689655,0.810344828,1.239655172,1.55
C,Forager 5,25,1,,24.1,24.1,,,30.1,39.9,45.1,59.3,29.6,40.8,52.1,75.6,Forager,1.248962656,1.65560166,1.871369295,2.460580913,1.228215768,1.692946058,2.161825726,3.136929461
C,Forager 6,26,4,72.3,74.6,73.45,,,67.1,44.1,73.2,42.4,57.8,113.9,71.4,121.1,Forager,0.91354663,0.600408441,0.996596324,0.577263445,0.786929884,1.550714772,0.972089857,1.64874064
C,Forager 7,27,4,24.8,14.2,19.5,,,24.3,27.7,62.1,51.7,18.6,29.4,81.9,112.1,Forager,1.246153846,1.420512821,3.184615385,2.651282051,0.953846154,1.507692308,4.2,5.748717949
C,Forager 8,28,1,36.5,29.4,32.95,,,26.8,37.5,50.7,47.5,33.3,26.3,44.2,87.1,Forager,0.813353566,1.138088012,1.538694992,1.441578149,1.010622155,0.798179059,1.341426404,2.64339909
C,Forager 9,29,1,40.3,39.7,40,,,30.4,33.8,33.3,63.2,45,44.2,35.1,112.9,Forager,0.76,0.845,0.8325,1.58,1.125,1.105,0.8775,2.8225
A,Nurse 1,30,1,92.2,73.8,83,74.7,74.4,77.9,89.2,105.3,,87.4,78.7,163.4,,Nurse,0.938554217,1.074698795,1.268674699,0,1.053012048,0.948192771,1.968674699,0
A,Nurse 10,31,,55,63.6,59.3,,,30.5,36.9,85.1,110.5,51.6,96.5,63.3,133.3,Nurse,0.514333895,0.622259696,1.435075885,1.863406408,0.870151771,1.627318718,1.067453626,2.247892074
A,Nurse 2,32,1,122.2,86,104.1,52.4,87.1,90,97.4,87.1,,79.9,82.6,168.6,,Nurse,0.864553314,0.935638809,0.836695485,0,0.76753122,0.793467819,1.619596542,0
A,Nurse 3,33,1,98.7,172.9,135.8,76.6,25.9,37.3,130.7,62.7,,106.3,96.6,152.6,,Nurse,0.27466863,0.962444772,0.461708395,0,0.782768778,0.711340206,1.12371134,0
A,Nurse 5,34,1,42.1,63.4,52.75,70.4,95.7,106.7,112.1,91.5,,95.9,48.8,128.9,,Nurse,2.022748815,2.125118483,1.734597156,0,1.818009479,0.925118483,2.443601896,0
A,Nurse 6,35,,37.8,47.1,42.45,,,50.7,67.8,97.6,70.9,72.8,81.1,87.4,193.8,Nurse,1.19434629,1.597173145,2.299175501,1.670200236,1.714958775,1.910482921,2.058892815,4.565371025
A,Nurse 7,36,,101.1,54.9,78,,,94.9,98.1,137,114.9,123.2,138.2,119,191.1,Nurse,1.216666667,1.257692308,1.756410256,1.473076923,1.579487179,1.771794872,1.525641026,2.45
A,Nurse 8,37,,42.4,75.8,59.1,,,79.1,54.7,72,101.1,51.4,86.7,51.8,144.9,Nurse,1.338409475,0.925549915,1.218274112,1.710659898,0.869712352,1.467005076,0.876480541,2.45177665
A,Nurse 9,38,,47.1,39,43.05,,,42.8,31.8,94.9,83,32.4,69.8,76.2,139,Nurse,0.994192799,0.738675958,2.204413473,1.927990708,0.75261324,1.621370499,1.770034843,3.228803717
B,Nurse 1,39,1,48,34.4,41.2,,,56.8,55.7,56.3,67.9,69.4,74.7,100.7,128.2,Nurse,1.378640777,1.351941748,1.366504854,1.648058252,1.684466019,1.813106796,2.444174757,3.111650485
B,Nurse 10,40,1,,,34.9,,,29.5,,41,37.7,38.2,26.6,38.6,128.1,Nurse,0.845272206,0,1.1747851,1.080229226,1.094555874,0.76217765,1.106017192,3.670487106
B,Nurse 2,41,1,59.8,68.5,64.15,,,72.6,67,88.3,112.8,95.2,70.1,24.8,112.8,Nurse,1.131722525,1.044427124,1.376461419,1.7583788,1.484021824,1.092751364,0.38659392,1.7583788
B,Nurse 3,42,1,214.8,139.8,177.3,,,281.4,282.4,211.5,247.5,287.8,237.5,340.3,270.2,Nurse,1.58714044,1.592780598,1.192893401,1.395939086,1.623237451,1.339537507,1.919345742,1.523970671
B,Nurse 4,43,4,40.9,48.6,44.75,,,15.9,45.3,62.9,88.8,58.04,52.8,61.1,90.6,Nurse,0.355307263,1.012290503,1.405586592,1.984357542,1.29698324,1.179888268,1.365363128,2.024581006
B,Nurse 5,44,1,69.5,93.2,81.35,,,117.7,121.9,112.4,186.3,112.8,86.6,92,210.7,Nurse,1.446834665,1.49846343,1.381684081,2.290104487,1.386601106,1.064535956,1.130915796,2.590043024
B,Nurse 6,45,1,53.2,99.5,76.35,,,125.8,130.1,199.9,299.5,114.3,149.4,145.9,228,Nurse,1.64767518,1.703994761,2.618205632,3.922724296,1.497053045,1.956777996,1.910936477,2.986247544
B,Nurse 7,46,1,44.4,44,44.2,,,49.4,27,121.8,78.4,37.1,60.4,57.5,146,Nurse,1.117647059,0.610859729,2.755656109,1.773755656,0.839366516,1.366515837,1.300904977,3.303167421
B,Nurse 8,47,1,,21.4,21.4,,,63.6,60.1,52.8,45.5,65,59.8,68.5,104.5,Nurse,2.971962617,2.808411215,2.46728972,2.126168224,3.037383178,2.794392523,3.200934579,4.88317757
B,Nurse 9,48,1,38.9,60.4,49.65,,,26.5,39,34.9,55.16,40.7,27.9,80,147.4,Nurse,0.533736153,0.785498489,0.702920443,1.110976838,0.819738167,0.561933535,1.611278953,2.96878147
C,Nurse 1,49,4,50.3,,50.3,,,82.3,53.3,53.3,48.3,120.2,90.6,98.6,170.1,Nurse,1.636182903,1.059642147,1.059642147,0.960238569,2.389662028,1.801192843,1.960238569,3.381709742
C,Nurse 10,50,4,20.5,19.4,19.95,,,14.5,14.1,29.8,53.1,9.8,14.5,20.6,116.4,Nurse,0.726817043,0.706766917,1.493734336,2.661654135,0.49122807,0.726817043,1.032581454,5.834586466
C,Nurse 2,51,4,40.2,43.6,41.9,,,67.3,72.7,93.5,86.9,89.8,111.5,101.3,139.8,Nurse,1.606205251,1.735083532,2.23150358,2.07398568,2.143198091,2.661097852,2.417661098,3.336515513
C,Nurse 3,52,1,25.8,72.5,49.15,,,71.7,49.4,78.9,89.6,44.8,50.8,72.6,99.7,Nurse,1.458799593,1.00508647,1.605289929,1.822990844,0.911495422,1.033570702,1.477110885,2.028484232
C,Nurse 4,53,4,31.3,40.2,35.75,,,72,56.9,91.9,88.8,62.8,52.6,53.8,125.9,Nurse,2.013986014,1.591608392,2.570629371,2.483916084,1.756643357,1.471328671,1.504895105,3.521678322
C,Nurse 5,54,4,67,43.2,55.1,,,49,101.9,94.5,81.4,60.6,89.7,96,113.2,Nurse,0.889292196,1.849364791,1.715063521,1.477313975,1.099818512,1.627949183,1.742286751,2.054446461
C,Nurse 6,55,1,30.1,38.4,34.25,,,55.5,57.6,120.7,52.7,57.2,74.6,74.8,149.9,Nurse,1.620437956,1.681751825,3.524087591,1.538686131,1.670072993,2.17810219,2.183941606,4.376642336
C,Nurse 7,56,1,171.9,140.9,156.4,,,176.9,200.4,239.8,277.7,203.7,169.6,180.7,329.5,Nurse,1.131074169,1.281329923,1.533248082,1.775575448,1.302429668,1.084398977,1.155370844,2.106777494
C,Nurse 8,57,4,43.5,51,47.25,,,26.8,35.5,134.6,148.4,26.1,48.8,76.8,201.9,Nurse,0.567195767,0.751322751,2.848677249,3.140740741,0.552380952,1.032804233,1.625396825,4.273015873
C,Nurse 9,58,1,84.7,81.5,83.1,,,86.7,84.8,221.5,174.6,105,93.8,98.6,255.9,Nurse,1.0433213,1.02045728,2.665463297,2.101083032,1.263537906,1.128760529,1.186522262,3.079422383
